osm_id,osm_type,name,category,amenity,lat,lon,postcode,street,cuisine,website
3835357195,node,Nicolas Wine Bar,Bar,bar,51.5047402,-0.0193629,E14 5AX,Canada Square,,
3835357196,node,garbanzos,Fast Food,fast_food,51.504245,-0.0198272,E14 5AJ,Reuters Plaza,,
3835357201,node,Pret A Manger,Fast Food,fast_food,51.5048273,-0.0178096,E14 5AH,Canada Square,sandwich,
3835357202,node,Pure,Fast Food,fast_food,51.504867,-0.0193702,E14 5AB,Canada Square,breakfast;salad,
3835357209,node,Electric Shuffle,Bar,bar,51.505611,-0.0217278,E14 4EY,Cabot Square,,https://electricshuffle.com/
3835357212,node,Black Sheep Coffee,Coffee Shop,cafe,51.5046758,-0.0217818,E14 4PZ,South Colonnade,coffee_shop,https://blacksheepcoffee.co.uk/blogs/locations/canary-wharf
3835357225,node,Wasabi,Fast Food,fast_food,51.504904,-0.0201447,E14 4QS,Cabot Square,japanese,
3837237761,node,Tina We Salute You,Bar,bar,51.546434,-0.0128934,E20 1FT,Olympic Park Avenue,,
3837237762,node,Darkhorse,Restaurant,restaurant,51.5476713,-0.0107122,E20 1FS,Victory Parade,european,
3837288998,node,Santi Restaurant Pizzeria,Restaurant,restaurant,51.5485411,-0.0090522,E20 1FS,Victory Parade,italian,
3837289002,node,The Fat Crab,Restaurant,restaurant,51.5484115,-0.0092999,E20 1FS,Victory Parade,seafood,
3838023415,node,Yumchaa,Coffee Shop,cafe,51.5356125,-0.1250572,,,teahouse,
3841574294,node,Liten,Coffee Shop,cafe,51.5417579,-0.1803416,,,,
3841667252,node,Molly Tea 茉莉奶白,Coffee Shop,cafe,51.511657,-0.1302819,WC2H 7BA,Lisle Street,bubble_tea,
3841899553,node,My Favourite Sandwich,Fast Food,fast_food,51.5209323,-0.0752958,E1 6BJ,Commercial Street,sandwich,
3841913476,node,Dishoom,Restaurant,restaurant,51.5130832,-0.139712,W1B 5QP,Kingly Street,indian,
3845915784,node,The Understudy,Bar,bar,51.5075969,-0.1136504,,,,
3845915785,node,Kerb @ Understudy,Restaurant,restaurant,51.5075526,-0.1139562,SE1 9PX,,,
3855529693,node,Hampstead Spice,Restaurant,restaurant,51.5627414,-0.1971109,,,bangladeshi,
3857691547,node,Costa,Coffee Shop,cafe,51.5185427,-0.1787135,,Praed Street,coffee_shop,
3858559711,node,Drake & Morgan,Restaurant,restaurant,51.5336063,-0.1260312,N1C 4AG,Pancras Square,english;brunch,https://drakeandmorgan.co.uk/kings-cross/
3859156205,node,Lyn's Breakfast Bar,Coffee Shop,cafe,51.3663054,0.3047712,DA3 8JB,The Row,,
3859156206,node,Pizzalands,Fast Food,fast_food,51.3657706,0.3053609,DA3 8JB,The Row,pizza,
3861527347,node,Penny Farthing,Pub,pub,51.4522255,0.1784858,DA1 4JJ,Waterside,,
3865853876,node,Harvest Cafe,Coffee Shop,cafe,51.5908128,-0.1024554,,,,
3865853880,node,Sunny Beach,Restaurant,restaurant,51.5909852,-0.1022481,,,bulgarian,
3865853881,node,The Turkish Kebab,Fast Food,fast_food,51.5907599,-0.1032235,,,turkish,
3874311762,node,Costa,Coffee Shop,cafe,51.602256,-0.1921034,N3 2BJ,Ballards Lane,coffee_shop,
3874582479,node,Romanov Coffee House,Coffee Shop,cafe,51.396313,0.1739236,BR8 7TL,London Road,,
3880049602,node,Beast,Restaurant,restaurant,51.5152569,-0.1468285,,Chapel Place,,http://www.beastrestaurant.co.uk/
3881014208,node,MRC Caribbean & European Cuisine & Jerk Centre,Restaurant,restaurant,51.4429965,0.0148022,SE12 0PS,Baring Road,,
3881014213,node,Kashi Indian Dining and Bar,Restaurant,restaurant,51.4432121,0.0147968,SE12 0PS,Baring Road,,
3887905010,node,The Alchemist,Restaurant,restaurant,51.5114243,-0.1269714,WC2N 4JS,St Martin's Lane,japanese,
3889294495,node,Lewisham Micro Library,public_bookcase,public_bookcase,51.4676865,-0.0234958,SE8 4DL,Lewisham Way,,
3889564461,node,The Lunch Box,Coffee Shop,cafe,51.5395374,-0.3088374,,,,
3889758724,node,Le Querce,Restaurant,restaurant,51.4479934,-0.0408513,,Brockley Rise,italian,
3889758753,node,Big Plate Cafe,Coffee Shop,cafe,51.4479482,-0.0409157,SE23 1LN,Brockley Rise,,
3890874643,node,La Boulangerie,Coffee Shop,cafe,51.4746353,-0.0407953,SE14 5PL,New Cross Road,,
3891083125,node,Mamma Dough,Restaurant,restaurant,51.456505,-0.0198911,SE13 7UZ,Ladywell Road,pizza,https://mammadough.co.uk/
3891083129,node,The Village Café,Coffee Shop,cafe,51.4569494,-0.019611,SE13 7AG,Algernon Road,,
3891083155,node,Le Délice,Coffee Shop,cafe,51.4565007,-0.0197779,SE13 7UZ,Ladywell Road,,https://www.ledelice.co.uk/
3891094502,node,Gordes,Coffee Shop,cafe,51.449999,-0.0001584,,,,
3892264307,node,Little Ochie,Fast Food,fast_food,51.4785435,-0.0852315,SE5 7EW,Southampton Way,,
3892264311,node,Happy Valley,Fast Food,fast_food,51.4781177,-0.084789,SE5 7EW,Southampton Way,chinese,
3892264315,node,Purple Mango,Restaurant,restaurant,51.4782329,-0.0842285,SE5 7EW,Southampton Way,,
3892264316,node,The Flying Dutchman,Pub,pub,51.4785402,-0.0854863,SE5 7SY,Wells Way,,https://www.flyingdutchmanlondon.com/
3892498691,node,Johnnies 2 Café,Coffee Shop,cafe,51.4423584,-0.0339678,,,,
3895060787,node,Humble Fish & Chips,Fast Food,fast_food,51.3734702,-0.4552391,,,fish_and_chips,
3895190286,node,The Sir Alexander Fleming,Pub,pub,51.518664,-0.1736444,W2 1AS,Merchant Square,burger;local,https://www.jdwetherspoon.com/pubs/the-sir-alexander-fleming-paddington/
3895318526,node,MiMar Cafe,Coffee Shop,cafe,51.5421469,-0.3463902,UB6 8PX,Oldfield Lane North,,
