business_id,birank_score,rank,friend_checkin_count,fof_checkin_count,social_unique_visitors,social_diversity_index,mean_bridge_confidence,social_boost,social_linked,best_gamma
eGgYses6equ9ZOHj6lYmXA,0.00032912523765843437,141,,,,,,,False,0.0
7EIRMyPzlNlvqXOnc3AphQ,0.0003291229171601161,142,,,,,,,False,0.0
aI1uVR-RPsE2TmrLJfcZ0g,0.00032733220772251345,143,,,,,,,False,0.0
gyOiiM7g2ylYK_WT5vLFyw,0.00032549267517970526,144,,,,,,,False,0.0
g07R_b5AIg30pst1enaZVQ,0.00032477922825603677,145,,,,,,,False,0.0
dD8HFOlOowiEcBv5F38pew,0.00032464769681927455,146,,,,,,,False,0.0
hkiJtkvSNBiSkc_op9a54A,0.00032444235576659255,147,,,,,,,False,0.0
OevKyf31TBJkGdKCarZiew,0.0003221943581635205,148,,,,,,,False,0.0
lc2iVDg4kjwewPoBrSwqoA,0.00032201384052071396,149,,,,,,,False,0.0
rfZXwpaBoXBYWz47NzzyKQ,0.00032194628172056917,150,,,,,,,False,0.0
35nhYScG8Q8x1ctzPCEUmQ,0.0003211237593474462,151,,,,,,,False,0.0
11_eIDfQ146e1J3CMPjpqA,0.0003195547489698647,152,,,,,,,False,0.0
LrZ5-YoLk-n6OsmE7NUskQ,0.00031946395627449213,153,,,,,,,False,0.0
ayqh0cxxuLrnY55oZr0kkA,0.00031834914289043185,154,,,,,,,False,0.0
cFFUSPIJfjm5pbgLGu91XA,0.0003180340993828526,155,,,,,,,False,0.0
0_GkFTdRWeKyeI5O8ROmnA,0.00031787161991049095,156,,,,,,,False,0.0
5Xo3oIX4IQ6elHzQy1lEDw,0.0003173895583781744,157,,,,,,,False,0.0
PqqTZ8ZY54s6nCzQhN7Agw,0.00031723887680428344,158,,,,,,,False,0.0
F-Z2J3GDTNge3K6bsbnKSw,0.00031717830219591276,159,,,,,,,False,0.0
5DSOl68ua27nwknuiFUHhw,0.00031688606407103055,160,,,,,,,False,0.0
k04LCpip1Aow0HUGX1OQtg,0.00031592779712784775,161,,,,,,,False,0.0
jGuLNmMIM_7IfulRVBWZJg,0.0003156176536212087,162,,,,,,,False,0.0
96xOmjfSB6RoKUFAF8yzIw,0.00031560605731858224,163,0.0,0.06,0.0,0.0,0.0,0.0,True,0.0
zb7itgC8u-89r09B_COslQ,0.00031556487991136816,164,1.3888,0.6687,1.0,0.6931,0.2315,0.1854565391224791,True,0.0
cxHhdkZ1dQPyzno1oBdDxw,0.0003147363258326892,165,,,,,,,False,0.0
2GwrhnUq7qvX08_31aRiSA,0.00031433148497737146,166,,,,,,,False,0.0
_ws0jviXOt0PXezpUVmHTA,0.00031379825748115397,167,,,,,,,False,0.0
WXVb0_TPSNGjqRshykMY8Q,0.0003130883480830705,168,,,,,,,False,0.0
ibZ2KjRKzVKKgqjWq4ST8A,0.0003123285353908038,169,,,,,,,False,0.0
8WZh1nEW3BzsqGk_j73TFQ,0.0003122929330746255,170,,,,,,,False,0.0
WjzWl2kUn1eWuLj4OZH47w,0.0003120681331481689,171,,,,,,,False,0.0
rbhFtPqq8ZCKmEU-rY6VDQ,0.00031117151057616236,172,,,,,,,False,0.0
ekrj3Ov-tRqcE9APVlMnHg,0.0003105193593271759,173,,,,,,,False,0.0
EEOgBTYNuaAHDSOBXauQxQ,0.0003103151160625369,174,0.4714,1.8818,1.0,0.6931,0.2357,0.08225390543625043,True,0.0
WklNC4oBYyPqMb2ILfcV3w,0.00030951865740931037,175,,,,,,,False,0.0
6om0BH0Cpotw8H0pQm5Uyw,0.0003093841793894202,176,,,,,,,False,0.0
E7R9YF9rGIOL9Pd5fJwMAQ,0.0003092833202478785,177,,,,,,,False,0.0
vHAjYdA3c4G3E7HKMl3OgQ,0.0003084231333671502,178,,,,,,,False,0.0
zY4ObZaMfkguE37G2gmabw,0.0003076392375065344,179,,,,,,,False,0.0
rpdC86_GmmRBKTvF2_DnEA,0.00030732726570126175,180,,,,,,,False,0.0
sc-ODc3ldfGGBOPy_k1uig,0.0003063837264264729,181,,,,,,,False,0.0
jRaBuPn1YNfze55LcBCM0g,0.0003062840810643285,182,,,,,,,False,0.0
